Rk,Player,Tm,Age,Pos,Games G,Games GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Yds Touch,Total Yds Y/Tch,Total Yds YScm,RRTD,Fmb
1,David Johnson,ARI,25,RB,16,16,120,80,879,11,4,58,5,54.9,66.70%,293,1239,16,58,4.2,77.4,18.3,373,5.7,2118,20,5
2,Ezekiel Elliott,DAL,21,RB,15,15,39,32,363,11.3,1,83,2.1,24.2,82.10%,322,1631,15,60,5.1,108.7,21.5,354,5.6,1994,16,5
3,Le'Veon Bell,PIT,24,RB,12,12,94,75,616,8.2,2,32,6.3,51.3,79.80%,261,1268,7,44,4.9,105.7,21.8,336,5.6,1884,9,4
4,DeMarco Murray,TEN,28,RB,16,16,67,53,377,7.1,3,35,3.3,23.6,79.10%,293,1287,9,75,4.4,80.4,18.3,346,4.8,1664,12,3
5,LeSean McCoy,BUF,28,RB,15,15,57,50,356,7.1,1,41,3.3,23.7,87.70%,234,1267,13,75,5.4,84.5,15.6,284,5.7,1623,14,3
6,Jordan Howard,CHI,22,RB,15,13,50,29,298,10.3,1,34,1.9,19.9,58.00%,252,1313,6,69,5.2,87.5,16.8,281,5.7,1611,7,2
7,Devonta Freeman,ATL,24,RB,16,16,65,54,462,8.6,2,35,3.4,28.9,83.10%,227,1079,11,75,4.8,67.4,14.2,281,5.5,1541,13,1
8,T.Y. Hilton,IND,27,WR,16,16,155,91,1448,15.9,6,63,5.7,90.5,58.70%,,,,,,,,91,15.9,1448,6,0
9,Jay Ajayi,MIA,23,RB,15,12,35,27,151,5.6,0,15,1.8,10.1,77.10%,260,1272,8,62,4.9,84.8,17.3,287,5,1423,8,4
10,Melvin Gordon,SDG,23,RB,13,11,57,41,419,10.2,2,35,3.2,32.2,71.90%,254,997,10,48,3.9,76.7,19.5,295,4.8,1416,12,2
11,Julio Jones,ATL,27,WR,14,14,129,83,1409,17,6,75,5.9,100.6,64.30%,,,,,,,,83,17,1409,6,0
12,Odell Beckham,NYG,24,WR,16,16,169,101,1367,13.5,10,75,6.3,85.4,59.80%,1,9,0,9,9,0.6,0.1,102,13.5,1376,10,3
13,Spencer Ware,KAN,25,RB,14,14,42,33,447,13.5,2,46,2.4,31.9,78.60%,214,921,3,46,4.3,65.8,15.3,247,5.5,1368,5,4
14,Mark Ingram,NOR,27,RB,16,14,58,46,319,6.9,4,22,2.9,19.9,79.30%,205,1043,6,75,5.1,65.2,12.8,251,5.4,1362,10,2
15,Mike Evans,TAM,23,WR,16,16,173,96,1321,13.8,12,45,6,82.6,55.50%,,,,,,,,96,13.8,1321,12,0
16,Frank Gore,IND,33,RB,16,16,47,38,277,7.3,4,49,2.4,17.3,80.90%,263,1025,4,22,3.9,64.1,16.4,301,4.3,1302,8,2
17,Antonio Brown,PIT,28,WR,15,15,154,106,1284,12.1,12,51,7.1,85.6,68.80%,3,9,0,13,3,0.6,0.2,109,11.9,1293,12,0
18,Isaiah Crowell,CLE,23,RB,16,16,53,40,319,8,0,44,2.5,19.9,75.50%,198,952,7,85,4.8,59.5,12.4,238,5.3,1271,7,2
19,Lamar Miller,HOU,25,RB,14,14,39,31,188,6.1,1,16,2.2,13.4,79.50%,268,1073,5,45,4,76.6,19.1,299,4.2,1261,6,2
20,Jordy Nelson,GNB,31,WR,16,16,152,97,1257,13,14,60,6.1,78.6,63.80%,,,,,,,,97,13,1257,14,1
21,Todd Gurley,LAR,22,RB,16,16,58,43,327,7.6,0,33,2.7,20.4,74.10%,278,885,6,24,3.2,55.3,17.4,321,3.8,1212,6,2
22,Brandin Cooks,NOR,23,WR,16,12,117,78,1173,15,8,98,4.9,73.3,66.70%,6,30,0,11,5,1.9,0.4,84,14.3,1203,8,1
23,LeGarrette Blount,NWE,30,RB,16,8,8,7,38,5.4,0,16,0.4,2.4,87.50%,299,1161,18,44,3.9,72.6,18.7,306,3.9,1199,18,2
